Gene	Expr0
Asph	6.56774
Aspm	8.20396
Aspscr1	9.24498
Aste1	6.98236
Asxl1	8.27985
Asxl2	7.10983
Atad1	7.33683
Atad2b	8.55473
Atad5	7.78273
Ate1	7.19741
Atf2$Atf2	8.92302
Atf6	7.18699
Atf7ip	7.7056
Atg12	8.15755
Atg2a	7.009
Atg5	7.98103
Atg7	6.55167
Atm	7.70882
Atp10d	7.63014
Atp11c	7.27483
Atp13a2$Atp13a2	7.84327
Atp2c1$Atp2c1	7.37315
Atp5s	7.12056
Atp6v0a1	6.60546
Atp6v0a2	6.81125
Atpaf1	8.6233
Atpaf2	7.84274
Atxn2	7.68764
Atxn2l	8.446
Atxn7l4	6.61311
Aven	8.41935
Axin1	7.60377
Axud1	8.33801
Aytl2	8.16696
B020006M18Rik	7.26594
B230118H07Rik	7.03439
B230217C12Rik	6.60338
B230317C12Rik	6.93607
B230339M05Rik	7.02856
B3galnt1	7.34262
B3galnt2	6.88528
B3galt4	6.8461
B3gat3	6.95789
B3gnt1	6.8457
B3gnt5	8.33718
B3gnt7	8.46745
B430203M17Rik	6.93103
B4galnt4	8.09521
B4galt3	8.25596
B630005N14Rik	8.22901
B930006L02Rik	7.28602
B930041F14Rik	6.86629
BC002059	7.00799
BC002216	7.0565
BC003266	8.6012
BC003267	8.17106
BC003331	7.74135
BC003940	8.08706
BC004728	8.2314
BC005624	8.46916
BC008163	7.7146
BC011248	8.71993
BC012278	7.53003
BC013529	7.21582
BC018371	6.93644
BC019943	6.78824
BC020077	6.6686
BC021395	8.4671
BC021611	6.72958
BC022224	6.73957
BC023055	7.75747
BC023814	6.97834
BC024479	8.01252
BC024868	7.85442
BC030867	7.67515
BC031853	7.49826
BC035295	7.69669
BC037034	6.68768
BC037112	7.48059
BC038156	8.33032
BC038286	7.8103
BC039093	6.77217
BC043098	7.86491
BC046331	7.67601
BC048403	6.89536
BC052040	8.51245
BC055324	9.02629
BC057079	7.85652
BC057552	8.56281
BC057627	7.52055
BC066107	6.64381
BC087945	8.16748
Bag2	6.8257
Bag4	8.61928
Baiap2l1	6.75967
Bak1	8.00038
Banp	7.66219
Bat2d	9.2324
Bat4	7.61718
Bbs5	7.31566
Bbx	7.39787
Bcam	8.30623
Bcar1	7.73911
Bcar3	8.38683
Bcas3	6.52678
Bcat2	8.75318
Bcdin3d	7.18378
Bckdha	9.12273
Bckdk	8.71564
Bcl10	8.46102
Bcl2l1	7.58885
Bcl7b	7.41281
Bcl7c	7.17697
Bcor	6.70089
Bdh2	7.26486
Bdp1	8.1439
Bet1	7.69392
Bet1l	7.76349
Bfar	7.56093
Birc2	8.83669
Blcap	8.16778
Blm	9.85351
Blvrb	9.14529
Blzf1	7.35882
Bmpr1a	8.00565
Bnip1	7.64324
Bok	7.8548
Bop1	8.98697
Bpgm	7.16916
Bphl	7.2562
Bpnt1	8.36945
Braf	7.13903
Brca1	8.58967
Brca2	9.77379
Brcc3	8.71013
Brd3	8.48125
Brd8	8.26196
