Gene	Expr0
Ugt1a1	7.05924
Ugcgl1$LOC100044322	8.41002
Ugcg	7.42557
Ufm1	8.2377
Ufd1l	8.34821
Uevld	6.35065
Ucp3	5.81646
Uckl1	7.45377
Uck1	7.88676
Ubxd8	7.84333
Ubxd6	6.87553
Ubxd5	6.60176
Ubtd2	7.96633
Ubtd1	7.70999
Ubr2	6.86969
Ubr1	7.10889
Ubqln1	8.4846
Ubox5	6.3481
Ubn1	7.76105
Ubl5	7.2021
Ubiad1	7.50117
Ube4b	8.40297
Ube4a	6.81792
Ube3c	8.04658
Ube2w	7.33271
Ube2o	7.88061
Ube2m	5.92143
Ube2j1	7.28974
Ube2g2	7.6788
Ube2e2	7.26237
Ube2d1	8.4039
Ubap1	7.9651
Ubac2	8.08381
Uap1l1	7.71764
Uaca	7.50128
Tyw3	6.91666
Tyw1	6.81228
Tyk2	7.53049
Txnrd3	6.87574
Txnrd2$LOC100044101	6.02836
Txnl4b	6.65721
Txndc13	7.18392
Txndc11	6.20548
Txndc10	7.24641
Txlna	7.79813
Twsg1	6.20599
Twist2	6.26027
Twist1	6.43435
Tut1	7.52125
Tusc4	8.0332
Tusc2	7.55039
Tusc1	6.53885
Tulp3	7.6605
Tuft1	6.54541
Tubgcp5	7.6016
Tubgcp3	7.56598
Tube1	6.41968
Tubd1	5.82612
Tubb3	8.25013
Tubb2a	6.30673
Ttyh3	7.44928
Ttyh2	6.01216
Ttr	6.24467
Ttpa	7.99699
Ttll6	6.06488
Ttll5	6.06772
Ttll4	6.72299
Ttll12	7.84567
Ttll1	6.84201
Ttl	5.89864
Ttf1	7.0192
Ttc9	5.83266
Ttc8	6.1724
Ttc33	7.54088
Ttc32	7.96699
Ttc30b	6.78735
Ttc30a1	7.0462
Ttc3	8.17033
Ttc26	6.52209
Ttc21b	5.95395
Ttc19	6.48982
Ttc17	5.82844
Ttc15	6.52265
Ttc14	6.56464
Ttc12	5.94662
Tst	7.88286
Tssc4	8.11349
Tssc1	7.90091
Tspyl4	6.78938
Tspyl2	7.61117
Tspyl1	8.32572
Tspo	8.14147
Tspan9	7.80498
Tspan7	7.88907
Tspan6	8.332
Tspan5	6.31925
Tspan32	6.48658
Tspan2	6.1937
Tspan17	6.81438
Tspan15	6.89043
Tslp	7.27197
Tshz1	5.95981
Tsga14	6.2863
Tsfm	8.43393
Tsen54	7.27693
Tsen2	8.18619
Tsc22d4	7.32743
Tsc22d3	5.81363
Tsc22d2	7.30332
Tsc1	6.32333
Trub2	8.25799
Trub1	7.60586
Trrap	8.42213
Trps1$LOC100044341	7.37145
Trpm4	7.31395
Trpc7	6.01927
Trpc4ap	8.08599
Trpc2$LOC100044905	6.17061
Trp53inp2	7.11596
Trp53i13	6.43965
Trp53i11	7.49949
Trp53bp2	7.79975
Trp53bp1	8.13247
Trove2	7.44347
Tro	7.65532
Trnt1	8.46774
Trmu	6.04823
Trmt5	8.28188
Trit1	8.33291
Trip4	7.73878
Triobp	8.36547
Trio	6.21653
Triml1	7.8783
Trim8	7.40888
Trim54	6.15166
Trim47	5.77838
Trim44	8.48015
Trim39	6.35983
Trim37	8.14268
Trim36	6.08686
Trim35	8.31688
Trim32	7.64157
Trim3	7.051
Trim27	6.1075
Trim26	7.07535
Trim23	7.62059
Trim2	6.97937
Trim11	7.56139
Trib3	8.08439
Trfr2	6.31429
Trf	6.37287
Trex1	6.94643
Trem2	6.43297
Trdmt1	7.32055
Trappc6a	7.65009
Trappc5	8.10158
Tram2	6.47778
Tram1l1	5.92356
Trak2	7.01488
Trak1	6.96743
Traip	7.68137
Trafd1	7.26086
Traf7	8.38724
Traf4	7.88796
Traf3ip2	7.14552
Traf3ip1	7.1815
Traf3	7.35237
Traf2	6.89662
Tradd	6.4361
Trabd	6.60502
Tpst2	8.07728
Tprkb	7.92153
Tppp3	6.82479
Tpmt	6.47464
Tpk1	6.75712
Tpcn1	7.07113
Tpbg	5.89282
Tox4	8.32959
Tor2a	8.24719
Tor1b	7.51235
Tor1aip1	7.41842
Tor1a	7.88441
Top3b	8.18577
Top2b	8.00491
Top1mt	6.81866
Tomm40l	7.42884
Tom1l2	6.39848
Tom1l1	6.02
Tollip	7.45292
Toe1	8.26408
Tob2	6.75267
Tnrc6c	7.45785
Tnrc6b	7.88135
Tnrc5	7.59725
Tnrc15$LOC100040600	7.61334
Tnpo2	7.90207
Tnnt1	6.85072
Tnks1bp1	6.69354
Tnks	7.66246
Tnip2	6.20244
Tnfsf9	6.72706
Tnfsf12-tnfsf13	8.26702
Tnfrsf4	6.33628
Tnfrsf23	6.60065
Tnfrsf22	6.15633
Tnfrsf21	6.68796
Tnfrsf1b	6.00469
Tnfrsf1a	7.49914
Tnfaip8l1	6.68339
Tnfaip8	6.00324
Tnfaip2	6.26562
Tnfaip1	8.38301
Tnc	7.85681
Tmub2	8.17299
Tmub1	5.87129
Tmtc4	7.76638
Tmtc3	7.3412
Tmprss6	6.3174
Tmprss5	6.09351
Tmod3	7.63578
Tmod1	5.94936
Tmlhe	6.26125
Tmepai	7.96363
Tmem9b	7.54557
Tmem98	8.04109
Tmem9	7.89288
Tmem87b	6.65094
