Gene	Expr0	Expr1	Expr2
Tmem182	3.10349	3.10639	3.19698
Tmem178	3.47107	3.24289	3.08586
Tmem174	3.55277	3.60668	3.39294
Tmem17	4.24304	3.89255	4.89331
Tmem16j	6.38492	3.20566	4.09083
Tmem16d	3.1807	3.11034	7.72006
Tmem16c	4.09574	6.00304	5.28096
Tmem169	3.25411	3.45941	3.46999
Tmem166	4.76098	6.86049	2.85679
Tmem162	4.21902	4.0591	4.20639
Tmem154	3.20725	3.8303	3.62997
Tmem140	4.31362	4.73358	4.49342
Tmem139	4.31901	4.25217	5.13903
Tmem132e	3.99362	4.18706	3.95766
Tmem130	3.58922	3.42567	3.47244
Tmem125	5.05839	4.15198	5.84967
Tmem118	5.02893	5.20009	4.91003
Tmem117	4.68271	5.718	5.52052
Tmem116	5.23324	5.55542	5.14446
Tmem108$LOC100045503	5.03107	4.40764	4.2889
Tmem104	3.60884	3.66992	3.68164
Tmem100	3.39219	3.96702	3.37878
Tmem10	4.61517	4.56664	4.49447
Tmco5	3.15906	3.37443	3.17238
Tmc5	4.11019	3.77093	4.09068
Tmc2	3.74861	4.02334	3.9043
Tmc1	3.65293	3.62757	3.64867
Tm7sf4	4.86718	4.42349	4.30723
Tm6sf2	4.10439	4.04415	4.021
Tm4sf5	6.06814	4.29338	4.59372
Tm4sf4	5.29688	5.45319	5.29049
Tm4sf20	3.07421	3.1537	3.27482
Tlx1	5.05729	4.84544	5.21043
Tlr8	4.97615	5.01414	5.03116
Tlr7	3.91636	4.10273	3.89233
Tlr6	5.19611	5.52895	5.10728
Tlr5	4.87662	5.24694	5.07962
Tlr4	3.76225	5.67624	3.97774
Tlr3	3.31487	3.56435	4.33993
Tlr13	3.7958	4.1424	4.0631
Tlr12	5.05413	5.19191	5.30041
Tlr1	2.96858	3.35257	2.97029
Tlm	3.92106	3.8879	3.86884
Tll2	3.03006	3.13982	3.32549
Tle2	4.4483	5.68949	5.11393
Tktl2	3.94876	3.59858	3.70381
Tktl1	5.102	3.68923	3.67014
Titf1	4.28602	4.43121	4.40652
Tinag	3.49199	3.56488	3.44098
Timp4	4.58727	4.52907	4.58357
Timd4	3.28788	3.19235	3.47367
Timd2	4.51874	4.33331	4.48624
Tigd5	4.80657	5.067	5.21947
Tie1	3.67387	3.44213	3.78199
Tiam2	5.35365	5.7653	4.95173
Tiaf2	5.29004	5.28642	5.25276
Thsd7b	4.68979	4.50667	4.56927
Thsd4	4.13215	4.28669	6.48989
Thsd1	5.04576	5.4213	5.10348
Thrsp	5.58386	5.32486	5.18923
Thrb	4.10569	3.94205	4.23251
Thpo	5.37112	4.59915	5.6571
Them5	3.29887	3.12713	7.5606
Theg	4.59583	4.43058	4.51386
Thbs4	4.15056	4.87207	4.10887
Th	4.40232	4.94161	4.64825
